frame,hip_angle_r,knee_angle_r,foot_strike_angle_r,hip_angle_l,knee_angle_l,foot_strike_angle_l,torso_angle
1,168.89653577387247,143.28472764091143,75.84244012865179,167.61378511035622,166.32351366463337,67.03254321374797,3.7328716157974737
2,175.41361687923282,119.87020865506739,124.61993313438447,172.214114725186,171.8091766788336,71.48962912277594,3.4192538465729725
3,169.31982665327453,158.12947245578303,106.58957575046837,171.59205326286153,142.22421567075162,94.58049784302098,3.331852392622412
4,169.5620682100585,138.72715335445932,130.86130850820652,172.58101310268273,135.97033180367885,96.12083244331936,3.7061924046974064
5,173.30810027297846,140.18623767640682,105.97426221115663,111.91310738187256,118.89186396986779,108.10423489944417,3.8015495335530103
6,175.33632982605425,147.6682844357211,100.63154394930437,127.51985275003716,80.27904357172434,114.34995700154991,3.0616812460707084
7,172.71992310943583,169.49125036579792,76.38564651059532,143.9129821247466,100.82935527873947,109.10821904607472,3.6097170302352755
8,168.5370457416813,169.7194546769056,82.63148481093927,156.57055386578645,133.25024894135205,97.2714162817091,3.4083587362388035
9,167.03176161792453,165.85058064744518,80.64967130430068,162.18278881233516,157.58369535983627,97.9118728143108,3.0320776452619236
10,168.40850919070175,158.3195914296638,72.86268505953686,164.2309430656024,160.2284460236876,91.21025491415418,3.2535879340453224
11,174.36553754594618,144.24798975777495,94.51079937618394,169.83734811004763,164.13549105860153,70.83470850110726,3.34502300150722
12,174.14753104956776,122.74202118292912,100.88585355849031,174.04352670324204,168.96513682133002,80.16817884583344,3.3051940163155193
13,168.91885074108012,125.52710669311418,104.31756952596561,173.141100908878,140.62726698487677,116.69950767256346,3.0050466809831606
14,167.62425030840043,127.45055852920015,105.25530797083202,172.0081330308222,136.7782580392868,116.59500621583905,3.3420692616895824
15,167.79691433507682,126.25679673071548,99.19481788741801,170.5741656193793,138.09642101466872,121.98350196501471,3.878429298021925
16,170.74037343636607,134.33426650014005,90.48523634253701,172.40068483955835,149.03464258263952,103.79923250937736,3.612483366272742
17,171.86175469544514,151.6615976354598,92.93753683235704,175.6738324691234,157.79574693307438,102.75584948676624,3.2292843031507035
