frame,hip_angle_r,knee_angle_r,foot_strike_angle_r,hip_angle_l,knee_angle_l,foot_strike_angle_l,torso_angle,hip_angle_r_smooth,knee_angle_r_smooth,foot_strike_angle_r_smooth,hip_angle_l_smooth,knee_angle_l_smooth,foot_strike_angle_l_smooth,torso_angle_smooth,stride_phase,hip_symmetry,knee_symmetry
1,171.32726367120827,146.9580717473357,94.54319600471813,170.02250073476114,168.63330076220845,98.65954618172752,0.7814208085543359,174.8130366341156,139.70145676396095,115.094222807904,165.9038327468814,166.16016389605764,99.7919920249028,0.38544664774506476,0,1.3047629364471334,21.67522901487274
2,175.81047191061282,137.34183194419845,127.78460899165438,167.85416481513735,162.74432229804646,97.33190609789928,1.648059166567272,169.54353666790445,131.91635713001716,116.36105456684888,167.54425345759444,161.73864037400608,97.95076111071916,2.494672381963869,1,7.956307095475466,25.40249035384801
3,166.8601987446749,121.45029011575387,127.78460899165438,165.78991729326162,155.6051339113928,95.52807739542432,3.5591811459451645,165.3974957762488,127.01066986206725,116.56243661748397,168.93307505325166,158.36530297375177,96.12412918388726,4.172715692354769,2,1.0702814514132797,34.15484379563894
4,160.67082483180886,110.35561662267928,123.20136388024088,166.3266907727524,160.5607814810155,91.19453013202128,7.030589032630549,162.37491395914873,124.98439496011123,115.69836895980924,170.0702975338531,156.0401516952947,94.31209624440709,5.419576578917766,3,5.655865940943556,50.20516485833623
5,157.70234182793268,119.50366739700668,127.78460899165438,166.8567034208534,140.98518075513817,97.63654359752964,6.421816653670138,160.4757912166042,125.83753242414912,113.76885159382472,170.95592089939873,154.76318653863484,92.51466229227866,6.23525504165286,4,9.154361592920708,21.481513358131494
6,155.87294385356654,123.4296233943834,96.33822639416655,171.0370170638799,152.6016147343069,98.03172851757168,6.006303646643215,159.7001275486155,129.57008225418122,110.7738845195307,171.58994514988902,154.53440750377263,90.73182732750217,6.619751080560068,5,15.164073210313347,29.17199133992351
7,159.33146841878778,141.5514065799081,109.359861833429,173.9301866664811,161.85802189089875,94.13786615031866,6.520542746913054,159.8660789072693,141.20000852524163,99.45116853662842,172.8371611370382,157.88313968949043,87.48763232283123,6.579785958686442,6,14.598718247693313,20.30661531099065
8,162.78943306682427,164.57759332480964,95.60953129183018,178.75438913221296,166.01359327726178,83.39628661391954,6.023886723060275,162.431742397392,154.69877648784984,93.53273448540226,173.00366094904155,161.96056974891636,85.34537609812375,5.8002711287323745,7,15.96495606538869,1.4359999524521356
9,170.55573225085823,166.5582846498427,73.33687766103809,177.42678041948844,155.58920134611716,71.43622115608841,5.058198286433239,165.75026331520849,167.71054063938647,92.77250699472847,173.28074568137316,163.39399172224756,82.74488745841157,4.618253867263309,8,6.87104816863021,10.96908330372554
10,168.4623597544097,172.27082399147608,88.09064839935633,167.671065192442,169.79017508501798,78.81450864126661,3.7646530433126975,169.03941241139455,172.8803501521217,90.9509840026574,173.46416911485306,162.77364331770332,83.16167753036757,3.519443083676059,9,0.7912945619677032,2.4806489064581
11,169.10861380463666,179.64137515825962,96.07946331805306,167.98202980943475,163.14739369893866,92.68583042309967,2.2875773218959363,171.16953296112473,171.9655059347255,91.63437132596744,172.66778432568805,155.42986704447486,87.6339029369617,2.4218281494086527,10,1.126583995201912,16.493981459320963
12,171.99450157662616,170.97874578961034,105.02360813920288,170.2161623341917,151.28405817016537,95.06733657766073,0.7927360465739784,170.9175904141676,164.1962796518654,91.10715693977382,172.38587959075045,146.54000552917097,96.62114172031932,1.4126511259681105,11,1.7783392424344697,19.694687619444977
13,173.9279358435467,163.56545320886707,104.43393542017508,176.91016427982606,133.09382335733326,98.09020364726224,0.5586833866097656,171.13282495799768,155.40762133811444,95.39486371867443,171.88427948669965,137.4426615862248,106.11648687423411,0.9372735519927095,12,2.982228436279371,30.471629851533805
14,171.8556634035764,135.06173681036418,79.12065722477661,174.0695970871383,123.3833111273101,120.88070369098583,0.217427923586938,171.47738745924988,149.95545937839367,100.0502184403986,171.25417942710163,129.73531008418874,112.84146316718203,0.908360082217848,13,2.213933683561919,11.678425683054087
15,167.85626666015216,134.72288858370956,91.18238726159004,170.4443891142505,120.42009859502842,120.88070369098583,1.3588692954769326,172.33483197495008,147.3654007235256,98.23684272255267,170.85379766579416,123.74063012124671,113.96938612961728,1.1863537460689506,14,2.5881224540983396,14.302789988681141
16,167.89817556363872,140.3754126992419,104.23730485292644,171.49976208855594,125.2882811899706,120.88070369098583,1.7867012804919091,172.24337128565602,148.4421314095687,94.32492085646575,169.26729888793022,125.68810569199191,111.75762035260398,1.5896264859150024,15,3.6015865249172236,15.087131509271302
17,178.0906024353542,158.81452006685987,103.9819593110426,165.10772790495497,129.19691294586576,103.50428041207483,2.674510780068537,171.4283408442019,153.38090349583254,91.0589558973715,168.0080478584976,134.1817660436013,107.775934077076,1.7962054162228043,16,12.982874530399243,29.61760712099411
18,174.3015547018518,167.9440782022433,93.77127908325843,162.47901068780038,141.40839428694372,95.57136196193652,2.252364097538652,170.52651580601315,160.2028279682791,90.3182165681489,166.99491014522104,146.23733075708935,101.95478376492167,1.8930838984729927,17,11.82254401405143,26.535683915299586
19,169.87380387567603,171.86542809314835,77.50836752849462,167.22967677929654,160.1681358977884,90.93054653565424,1.6419473120309152,171.70072838731681,166.73111596854022,90.76505126122746,167.6630696951852,156.4473712811195,97.08574556046807,1.6329270300412504,18,2.644127096379492,11.69729219535995
20,168.31638095020816,167.38707526669484,80.34429617550047,169.9907441497037,174.8609551093846,91.30059489881668,1.0348188712315247,173.2433808474176,165.61139010634844,88.51562027629467,168.47492660777033,166.2541852222809,90.72559156263216,1.2303846652370314,19,1.6743631994955308,7.473879842689769
21,169.36335528708582,158.70673830954357,93.0552664157279,172.57504057945675,178.7344855733648,90.42858855679258,0.4780330200532414,173.277690567067,158.00371103759872,88.79900945757379,169.03568085453566,172.79303573746478,87.4021838677148,1.1113437765799035,20,3.2116852923709303,20.027747263821226
22,172.80130885669823,151.1243994249116,96.54156397194204,170.25285350661392,171.6842483390921,93.9771435856902,1.3802217359567708,171.99763796079225,146.68056763361884,95.10115462227219,169.64166057061283,172.56078542947483,88.17922449889443,1.0761356322831137,21,2.5484553500843106,20.55984891418052
23,179.52633452557254,134.1933214055509,97.45116482230472,170.05537418402204,163.7090472781172,95.56572774604402,0.5745758150713564,170.18637220187492,133.3206311170867,99.78250889351897,169.12739368148712,167.56835577761996,91.24226039309153,1.5585292276843303,22,9.470960341550494,29.515725872566293
24,170.66118297320693,117.47703242617436,107.35953202249368,167.18506185091255,170.41911316598595,71.43622115608841,2.4492977760472585,167.58162207902063,122.02884561928535,105.91379690943106,168.54361801450708,160.80573720514988,94.49860790375331,2.2732444899966175,23,3.476121122294387,52.94208073981159
25,162.33667582181752,111.02620330871238,114.47877043171049,167.0797083721501,153.46937052189148,101.54765960785504,3.4765315449170062,164.43380143810526,115.91494633854143,109.15463070764925,169.1564356911577,155.94669961165766,97.49900468369755,2.96742769836555,24,4.743032550332572,42.443167213179095
26,158.26601395754227,115.21960513285356,116.1423033312105,167.13658132180615,138.62523249351685,106.28545124827026,3.319256185299331,161.2129713345135,116.35677617900531,109.24158719698265,170.399101500852,154.69525872826426,98.8653441028206,3.5758733033896912,25,8.870567364263877,23.40562736066329
27,152.43397763880387,112.82551917115352,92.8115001940621,170.960891712289,153.06018558051792,109.63999001942015,4.696555645338425,158.8270487185751,123.80713153043752,107.58733755382613,171.92464040612978,156.94828032924391,98.90099530670821,3.9213238148214735,26,18.52691407348513,40.23466640936441
28,158.37724996396818,135.3798264081379,114.3478083520122,177.45311203119928,162.88261026820427,98.94043475748964,4.017042345787517,157.5427933791808,138.66656736662551,105.9058170392506,172.2055498711024,159.2692070080658,98.93781567648901,4.1109357087626295,27,19.0758620672311,27.502783860066387
