frame,hip_angle_r,knee_angle_r,foot_strike_angle_r,hip_angle_l,knee_angle_l,foot_strike_angle_l,torso_angle
1,154.8507658279432,111.12841354942113,156.44512489947695,146.68946478416723,109.50694307735868,83.87759256566875,7.393531802268728
2,151.13091386258947,116.56949450321537,108.36090802836128,159.68513235670264,127.8523649058886,56.376641129375734,6.210300518317617
3,148.0553901036803,127.4397689072807,113.07775520782604,178.62366862724264,155.35413127136542,76.06037291514521,4.351396033706222
4,154.39263691696044,137.39603212175302,94.87192903458654,175.49135363118032,154.01981465819574,42.706039187387816,3.0303285545482166
5,170.22235446158757,153.05126772891282,98.84300603284049,171.90020578995052,177.17183874000747,64.22788717830664,0.36718866065554445
6,178.20299619207745,156.60570699206235,100.6467504323131,167.23888005260184,153.3764933288351,130.07479886762553,0.3879151794752016
7,179.72702639115863,170.51402861775478,92.22319082024829,166.11408545066104,147.23248779182316,122.53055692837954,1.882320207390973
8,176.17482182824233,178.43067022927747,111.12590138618187,174.950479441421,137.51041387764965,47.20890506012406,3.1335658056257394
9,171.53298348824939,115.63119721872212,142.9694909526522,161.20568834968356,162.10745633164586,59.42717048345809,3.329507692537438
10,169.01458027808212,114.79297871450738,70.25703402543279,167.45104448813865,139.90974107601878,92.9397108894074,2.1977819088231336
11,169.37872133605498,117.10494854432609,47.16722646458977,134.05487655804902,123.31104855809332,112.27529318011266,0.8799386934390354
12,179.9421656970265,142.54642553531994,62.68839422280441,155.21498174452137,155.86591509276886,64.01576056649213,1.082623719967377
13,162.4358357877071,164.61829955988875,42.084412231201775,157.80732979534832,140.7591310615134,77.48706275120803,2.052395915962354
14,162.70904921675742,161.5825582212121,47.23397651765322,166.2062432814056,147.6137395069221,76.61621860461706,2.572483644691455
15,160.35599274388952,163.8352655714918,88.95978885987861,167.79977869956667,166.7869055168569,47.75389084181172,1.0636028396841777
16,164.29651445898824,153.58016159537547,106.74889825006348,169.28459713691817,173.33729809859224,42.702201646778846,0.8602592371314539
17,166.43812103143173,145.68778449122453,106.91089429071859,174.73320021966572,169.7171779393941,58.36163387269815,2.5526296865612412
18,175.52002378305997,125.07935329635716,129.82938739416903,157.98776919793445,167.101661220596,79.39385301433727,4.869166531283878
19,167.34832279469714,99.28308330548472,119.53531751662979,104.10322281967848,179.14700896387976,71.77359690482224,2.9333967979834146
20,162.91793499015236,103.0788406752569,103.2015240053582,131.2055421790664,176.6344107650591,35.283505483531854,1.1982256439363674
21,166.43232453986968,125.75641866339987,94.13871576082703,157.73223756181793,114.72845959947328,112.96353460287496,0.49632377690527213
22,178.97819849349145,148.89045050903266,98.66414779068701,155.1493396955726,115.77605203870998,82.30664763004663,0.24504367753957454
23,155.45554186277454,141.4824286573696,91.13342427892259,173.98793178325087,157.27375889455072,50.1764054097184,0.8359648639648337
24,162.62824779775707,154.8066858287218,83.7799001813292,166.2537516539203,160.86804138843462,37.57704953771388,1.2448692474568732
25,162.6636500349319,157.41519808398536,95.16603443792155,170.02679441034414,165.58917721860095,37.20773034160676,4.585044850743807
26,159.00842028289804,137.82476276285138,97.0939412840637,165.21493781846132,142.2932253804837,25.724846944034823,3.829083574451949
27,,,,,,,
28,93.98376155680847,168.71521391902849,34.989652956612744,178.69691660478523,112.9172260792609,133.27543943770831,5.3962947642955985
29,166.20295300066064,133.32271609158443,82.71464569289401,164.21469827028963,137.11941779105265,117.63903787877993,3.020654262181039
30,167.30145794587904,123.11666093323288,119.61094394089696,165.84962435614017,130.15920429584207,137.5332532436423,1.676361936735452
31,175.53627837504823,140.7961244562231,70.80776800044207,129.22176396419715,108.14895929277883,105.36210529513845,1.0272091950849411
