frame,hip_angle_r,knee_angle_r,foot_strike_angle_r,hip_angle_l,knee_angle_l,foot_strike_angle_l,torso_angle
1,164.2625136083787,136.94416467022776,79.16772825378062,177.4133534831345,119.84504441485626,107.11411610642057,10.272979650604817
2,99.51450584438389,171.01376504150764,117.67135412733286,175.07609784564056,112.69499491675015,111.28443307171582,10.146882070508168
3,120.4786222031972,173.40740873023395,142.20075354198477,176.28437711302178,123.57103838128556,103.19385994648337,10.077254065731024
4,178.88393619952433,156.4019216055323,92.94390550258734,103.25187757885648,171.9915645058478,93.5152783463173,11.05082012828255
5,171.75245767299884,167.9830380893229,93.5334023187069,141.21222962371849,104.19396158690991,109.50015112910796,11.020405508810093
6,166.0969730066986,171.51332405663405,100.10408952331622,152.51555981524564,133.47436694022014,112.76325259785737,10.386778827973194
7,162.774642936606,172.4162444170955,99.78648873587454,154.33725005104722,149.18324960154337,122.06275383878786,9.8207859593819
8,158.25214204229886,174.0652656042271,96.4197017400037,158.93706220514605,165.68803404917293,122.09763034409775,9.392119297352927
9,155.18559697868727,174.7902012903612,98.51268016089067,159.45288459511187,161.01022841551534,131.65809155028987,8.956700717869445
10,153.32791538293384,169.32690626374804,97.42630240238857,157.83384172028406,171.39495111390377,125.19579869314752,8.899930983098116
11,154.68983373129117,160.36962445815547,96.1035476689818,159.14971458583278,160.89220561733765,102.4239378745317,9.294266323938105
12,160.17524527833316,147.5457531537137,73.56417892293652,161.5268989731509,155.26493082875362,108.32983685572577,9.874958965852336
13,158.96380504637,145.33660756204816,109.77151639180067,142.6385578548049,146.8656209394637,96.61371358927522,11.26185500211965
14,108.11996792107942,150.96708880348362,124.9681261838778,179.64272297307514,135.26814505157395,77.60866884339796,10.605947077272644
15,92.8478294775201,177.97990207962349,115.1546083622053,174.0845289132507,118.8994295131959,71.07259389848274,8.53435610891572
16,85.02348074559562,165.5944647271002,77.11964805754253,170.3047875535757,139.65584454892698,66.58376653041101,7.728326517059604
17,90.00401325153574,173.2317065944843,112.09021422019435,176.81116736711905,155.49555722385463,90.26581264140631,7.728917517605124
18,134.38656507299717,167.92811414152445,36.38676542723246,178.57370017002205,164.35369763369644,97.67049161360285,6.8375917217203455
19,142.54843938109246,128.30420673543955,67.64924115561725,171.5422194777914,168.58073755215852,98.11058246205245,6.656920442951683
20,145.37221316396455,170.52020159200015,68.7039656611116,166.00877729063322,173.98413642241917,100.61895989837635,5.355034750512353
21,143.8154259205877,147.63768749360145,86.13105618342844,161.91834302084337,175.49297556115667,95.99306268400868,4.845435529499996
22,127.35969506216311,168.96516999680935,89.02406165743656,159.15874033472866,174.576286454569,102.15584425520004,4.7044645396673985
23,143.2587238319656,161.03801700173997,71.12992762226908,155.96109532318616,172.2696404933215,102.0260969208098,5.398554328477881
24,148.03755340803394,155.68826870855125,78.47498140790827,158.13230340219633,164.1713450096856,104.59558237644679,5.636626239564077
25,150.4334310269523,160.55490495900338,87.04518175567661,158.74160332624808,154.5183585218859,100.39636068194883,7.18330123797794
26,123.77313875036936,169.73403026288275,84.5071689941254,159.1268156264764,149.61496614092795,89.72555090850048,8.204913495549954
27,123.0508686683083,173.74087959744145,78.85845439762248,169.8521845079956,131.9511580442162,99.33522342191338,8.86522652967495
28,119.1413225245854,176.15783461860036,69.22799315070954,179.26377438072188,114.49391460543669,102.2938512291189,9.43137672429628
29,103.05066382386948,168.0524592558099,130.96025432604011,178.8211354964054,126.3719634849305,100.90758740934746,9.378560029071993
30,175.46096839220965,154.9868653432029,90.22443719240634,159.3283446242823,105.54191603375902,92.23871306315311,9.55670121580024
31,173.0202195204982,164.97133909503975,97.52431837942139,168.95052032537964,135.06528118807742,116.17642970035155,10.465896344826136
